id;user_id;book_id;chapter_id;lesson_id;completed;score;xp_earned;completed_at;created_at
485d1596-43ea-4dd2-b3dc-59b6cd4a7abb;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;7;genesis-7;true;4;50;2026-01-15 21:27:52.574+00;2026-01-15 21:27:52.513874+00
3db40108-79a2-4892-a5e2-bd9eb38901d2;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;8;genesis-8;true;4;45;2026-01-15 21:29:59.039+00;2026-01-15 21:29:58.972122+00
09219937-52ca-4b3d-9956-409492be41c0;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;9;genesis-9;true;2;25;2026-01-15 21:30:15.256+00;2026-01-15 21:30:15.207209+00
a6f871e1-3832-42cf-a84c-0dbc2f8bd1cb;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;11;genesis-11;true;4;58;2026-01-15 21:31:30.189+00;2026-01-15 21:31:30.116892+00
fd4ca1c6-30b8-48ce-ba7e-d4bc6227a4a7;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;12;genesis-12;true;5;68;2026-01-15 21:32:01.721+00;2026-01-15 21:32:01.653045+00
dd6ddef1-c535-42ba-84ab-a0cebc0d82ea;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;14;genesis-14;true;1;15;2026-01-15 21:32:15.962+00;2026-01-15 21:32:15.94303+00
75b2ee5f-f168-4315-8b13-71880ed90e94;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;15;genesis-15;true;1;10;2026-01-15 21:33:00.763+00;2026-01-15 21:33:00.755021+00
8d6a195f-9a33-4dc1-837b-b8d2b6dd1b46;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;16;genesis-16;true;2;20;2026-01-15 21:33:21.935+00;2026-01-15 21:33:21.867044+00
a28105a2-396c-4046-a6ca-39acdbaf8364;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;17;genesis-17;true;1;10;2026-01-15 21:33:36.686+00;2026-01-15 21:33:36.618871+00
e162bf49-7c09-45e7-bd6b-ed912c6b5274;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;18;genesis-18;true;2;25;2026-01-15 21:34:09.359+00;2026-01-15 21:34:09.289791+00
f47e8c6e-e3da-48af-9bc0-18e50984704e;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;19;genesis-19;true;2;20;2026-01-15 21:34:57.165+00;2026-01-15 21:34:57.448443+00
4f847e97-05f6-4d92-af1a-fb040f6e3ffe;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;21;genesis-21;true;1;10;2026-01-15 21:35:12.278+00;2026-01-15 21:35:12.21366+00
9a362cf4-dea6-4c44-8448-756176f454fb;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;22;genesis-22;true;4;50;2026-01-15 21:35:39.059+00;2026-01-15 21:35:38.983415+00
32d7f940-23c9-43d5-8223-98a7a2bf45aa;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;23;genesis-23;true;1;10;2026-01-15 21:35:50.074+00;2026-01-15 21:35:50.006589+00
931daccb-aece-4783-bfdc-299f5b033d69;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;24;genesis-24;true;1;10;2026-01-15 21:36:06.514+00;2026-01-15 21:36:06.458373+00
47119a23-f4af-44ad-9b5e-7960e5fd438b;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;25;genesis-25;true;4;50;2026-01-15 21:36:34.222+00;2026-01-15 21:36:34.15561+00
62db8e8c-0bde-4bec-b6a2-6b49c560f338;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;27;genesis-27;true;1;15;2026-01-15 21:37:15.59+00;2026-01-15 21:37:15.525751+00
296d0366-f918-44fa-bf9a-28a32cdab29e;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;28;genesis-28;true;1;10;2026-01-15 21:37:29.287+00;2026-01-15 21:37:29.217309+00
e507d49b-ce2f-4eb6-90d6-50a81c0224d7;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;29;genesis-29;true;2;25;2026-01-15 21:37:44.394+00;2026-01-15 21:37:44.323767+00
5d96cd02-d219-4f0c-9ac4-f57a65a0efcf;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;32;genesis-32;true;2;30;2026-01-15 21:37:57.671+00;2026-01-15 21:37:57.646502+00
8bcfc9fc-1369-4c1f-9145-07d8e86b5693;3564f034-e3d2-46f2-9166-33e28f8fc308;genesis;9;genesis-9;true;2;25;2026-01-16 07:03:01.756+00;2026-01-16 07:03:01.818816+00
ca5eae41-cbf8-4315-85f9-02694027705f;3564f034-e3d2-46f2-9166-33e28f8fc308;genesis;8;genesis-8;true;4;45;2026-01-16 07:04:12.713+00;2026-01-16 07:04:12.760457+00
1f5d5515-aee1-407f-9e78-11b0651d9c10;3564f034-e3d2-46f2-9166-33e28f8fc308;genesis;11;genesis-11;true;4;58;2026-01-16 07:08:42.341+00;2026-01-16 07:08:42.389097+00
46bc05cd-dda6-4e04-bf7b-742712d0a339;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;13;genesis-13;true;2;20;2026-01-16 07:20:32.276+00;2026-01-16 07:20:33.418471+00
bebceef3-0e38-4b2b-a9f9-8be66579bd1a;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;10;genesis-10;true;2;20;2026-01-16 07:21:00.582+00;2026-01-16 07:21:01.687578+00
77a96139-f344-44d5-8245-53697d6432a9;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;20;genesis-20;true;2;20;2026-01-16 07:21:15.664+00;2026-01-16 07:21:16.776798+00
e0e030ed-731b-464c-ab7e-b4e34d7dc59f;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;26;genesis-26;true;2;20;2026-01-16 07:21:53.423+00;2026-01-16 07:21:54.520624+00
f9ddaf08-f6f4-459a-92b7-87f0e9931d32;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;30;genesis-30;true;2;25;2026-01-16 07:22:12.623+00;2026-01-16 07:22:13.725082+00
1d237bd3-e3d7-4374-97d2-6ef434044d1b;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;31;genesis-31;true;2;20;2026-01-16 07:22:37.433+00;2026-01-16 07:22:38.532008+00
